State,Variable,Spending
Missouri,school_admin.,599
Montana,school_admin.,632
Nebraska,school_admin.,582
Nevada,school_admin.,636
New Hampshire,school_admin.,882
New Jersey,school_admin.,922
New Mexico,school_admin.,567
New York,school_admin.,811
North Carolina,school_admin.,553
North Dakota,school_admin.,688
Ohio,school_admin.,643
Oklahoma,school_admin.,455
Oregon,school_admin.,697
Pennsylvania,school_admin.,655
Rhode Island,school_admin.,791
South Carolina,school_admin.,642
South Dakota,school_admin.,453
Tennessee,school_admin.,540
Texas,school_admin.,524
Utah,school_admin.,432
Vermont,school_admin.,"1,296"
Virginia,school_admin.,677
Washington,school_admin.,688
West Virginia,school_admin.,613
Wisconsin,school_admin.,593
Wyoming,school_admin.,930
